,0
21,"['gel53236;', '24;', 'video1Start:1611395501801,video1Done,fragebogen1Start:1611396141930,fragebogen1Ende:1611396425773,video2Start:1611396427887,video2Done,fragebogen2Start:1611397188990,fragebogen2Ende:1611397684894,video3Start:1611397686996,video3Done,fragebogen3Start:1611398438276,fragebogen3Ende:1611398466413,video4Start:1611398468490,video3Start:1611398471738,video3Done,fragebogen3Start:1611398475710,fragebogen3Ende:1611398962886,video4Start:1611398964628,video4Done,fragebogen4Start:1611399820015,fragebogen4Ende:1611400110673,']"
22,"['gop27884;', '10;', 'video1Start:1611314013218,video1Done,fragebogen1Start:1611314665042,fragebogen1Ende:1611314898999,video2Start:1611314900816,video2Done,fragebogen2Start:1611315654657,fragebogen2Ende:1611316191940,video3Start:1611316193602,video3Done,fragebogen3Start:1611317148343,fragebogen3Ende:1611317521826,video4Start:1611317523822,video4Done,fragebogen4Start:1611318242895,fragebogen4Ende:1611318486562,']"
23,"['hal13444;', '25;', 'video1Start:1611406862564,video1Done,fragebogen1Start:1611407537218,fragebogen1Ende:1611407910737,video2Start:1611407913303,video2Done,fragebogen2Start:1611408651662,fragebogen2Ende:1611409097076,video3Start:1611409099858,video3Done,fragebogen3Start:1611409828157,fragebogen3Ende:1611410352209,video4Start:1611410355249,video4Done,fragebogen4Start:1611411074690,fragebogen4Ende:1611411321342,']"
24,"['hal58883;', '59;', 'video1Start:1611840057388,video1Start:1611849879859,video1Done,fragebogen1Start:1611850384130,fragebogen1Ende:1611850726886,video2Start:1611850729034,video2Done,fragebogen2Start:1611851472536,fragebogen2Ende:1611851850791,video3Start:1611851853153,']"
25,"['hat20625;', '4;', 'video1Start:1611304678311,video1Done,fragebogen1Start:1611305442801,fragebogen1Ende:1611306694450,video2Start:1611306696513,video2Start:1611308943359,video2Start:1611394601793,video2Done,fragebogen2Start:1611395415026,fragebogen2Ende:1611395670797,video3Start:1611395672846,video3Done,fragebogen3Start:1611396714634,fragebogen3Ende:1611397074772,video4Start:1611397076759,video4Done,fragebogen4Start:1611397842879,fragebogen4Ende:1611398098183,']"
26,"['hej27360;', '39;', 'video1Start:1611653451103,video1Done,fragebogen1Start:1611653879732,fragebogen1Ende:1611654386045,video2Start:1611654388711,video2Done,fragebogen2Start:1611654938417,fragebogen2Ende:1611655236696,video3Start:1611655239258,video3Done,fragebogen3Start:1611655553120,video3Done,fragebogen3Start:1611655559726,fragebogen3Ende:1611656265594,video4Start:1611656268100,video4Done,fragebogen4Start:1611656618921,video4Done,fragebogen4Start:1611656659857,fragebogen4Ende:1611657323959,']"
27,"['hij16037;', '70;', 'video1Start:1612004783683,video1Done,fragebogen1Start:1612005437112,fragebogen1Ende:1612005685913,video2Start:1612005687825,video2Done,fragebogen2Start:1612006416092,fragebogen2Ende:1612006907827,video3Start:1612006909848,video3Done,fragebogen3Start:1612007632681,fragebogen3Ende:1612008116311,video4Start:1612008118371,video4Done,fragebogen4Start:1612008834924,fragebogen4Ende:1612009338303,']"
28,"['him34636;', '28;', 'video1Start:1612517083756,video1Done,fragebogen1Start:1612517774418,fragebogen1Ende:1612518159630,video2Start:1612518161743,video2Start:1612555027231,video2Start:1612698557744,video2Done,fragebogen2Start:1612699511538,fragebogen2Ende:1612700329383,video3Start:1612700332325,video3Start:1612700696348,video3Done,fragebogen3Start:1612701513425,fragebogen3Ende:1612702095818,video4Start:1612702099439,video4Done,fragebogen4Start:1612702873950,fragebogen4Ende:1612703389678,']"
29,"['hoj15143;', '40;', 'video1Start:1611659103375,video1Done,fragebogen1Start:1611659751383,fragebogen1Ende:1611660082588,video2Start:1611660084622,video2Done,fragebogen2Start:1611661500743,fragebogen2Ende:1611661895723,video3Start:1611661897844,video3Done,fragebogen3Start:1611665944125,fragebogen3Ende:1611666250552,video4Start:1611666252534,video4Done,fragebogen4Start:1611666968075,fragebogen4Ende:1611667381826,']"
30,"['hoj20120;', '37;', 'video1Start:1612880083438,video1Done,fragebogen1Start:1612880616311,fragebogen1Ende:1612880785086,video2Start:1612880787193,video2Done,fragebogen2Start:1612882295492,fragebogen2Ende:1612882786704,video3Start:1612882789205,video3Done,fragebogen3Start:1612883393672,fragebogen3Ende:1612884258905,video4Start:1612884261163,video4Done,fragebogen4Start:1612884895607,fragebogen4Ende:1612885708307,']"
31,"['hop17440;', '16;', 'video1Start:1611321567237,video1Done,fragebogen1Start:1611322235010,fragebogen1Ende:1611322696806,video2Start:1611322699077,video2Start:1611322804754,video2Start:1611564162406,video2Done,fragebogen2Start:1611564757289,fragebogen2Ende:1611565512706,video3Start:1611565514914,video3Done,fragebogen3Start:1611652496271,fragebogen3Ende:1611661360695,video4Start:1611661363019,video4Done,fragebogen4Start:1611663637865,fragebogen4Ende:1611664345566,']"
32,"['hot51459;', '32;', 'video1Start:1611520036268,video1Done,fragebogen1Start:1611520767089,fragebogen1Ende:1611520887181,video2Start:1611520889164,video2Done,fragebogen2Start:1611521900212,fragebogen2Ende:1611522188039,video3Start:1611522189910,video3Done,fragebogen3Start:1611523520459,fragebogen3Ende:1611523716626,video4Start:1611523718755,video4Done,fragebogen4Start:1611524737165,fragebogen4Ende:1611524745392,video4Start:1611665428277,video4Done,fragebogen4Start:1611665925771,fragebogen4Ende:1611666133068,']"
33,"['hot55166;', '0;', 'video1Start:1611302888575,video1Done,fragebogen1Start:1611303529579,fragebogen1Ende:1611304655283,video2Start:1611304657069,video2Done,fragebogen2Start:1611305404000,fragebogen2Ende:1611305750780,video3Start:1611305752492,video3Done,fragebogen3Start:1611306573773,fragebogen3Ende:1611307688018,video4Start:1611307690006,video4Done,fragebogen4Start:1611308419280,fragebogen4Ende:1611310071693,']"
34,"['hot59097;', '68;', 'video1Start:1611917506596,video1Done,fragebogen1Start:1611918103174,fragebogen1Ende:1611918386073,video2Start:1611918387885,video2Done,fragebogen2Start:1611918900819,fragebogen2Ende:1611919333164,video3Start:1611919335115,video3Done,fragebogen3Start:1611919919452,fragebogen3Ende:1611920435028,video4Start:1611920436874,video4Done,fragebogen4Start:1611921010400,fragebogen4Ende:1611921313935,']"
35,"['hul10179;', '27;', 'video1Start:1611430469289,video1Done,fragebogen1Start:1611430941060,video1Start:1611672605495,video1Done,fragebogen1Start:1611673014424,fragebogen1Ende:1611673640772,video2Start:1611673642630,video2Done,fragebogen2Start:1611674146415,fragebogen2Ende:1611674733010,video3Start:1611674735049,video3Done,fragebogen3Start:1611674793758,fragebogen3Ende:1611675931779,video4Start:1611675934509,video4Done,fragebogen4Start:1611675995455,fragebogen4Ende:1611676996683,']"
36,"['indexTest0;', '12;', '],[indexTest1', 'null;', '],[indexTest10;', '88;', 'video1Start:1612014153462;;']"
37,"['indexTest2;', 'null;', '],[indexTest3', 'null;', '],[indexTest4;', '13;', '],[indexTest5;', '6;', 'video1Start:1612013277622;;']"
38,"['indexTest6;', '42;', 'video1Start:1612013538417,video1Done,fragebogen1Start:1612013563762,fragebogen1Ende:1612013565266,video2Start:1612013566873,video1Start:1612013568502,video2Start:1612013580363,video2Start:1612013632443,video2Start:1612013651962,']"
39,"['indexTest7;', '72;', 'video1Start:1612013710202,video1Done,fragebogen1Start:1612013771338,fragebogen1Ende:1612013773943,video2Start:1612013775467,video1Start:1612013789318,']"
40,"['indexTest8;', '1;', 'video1Start:1612013819786,video1Done,fragebogen1Start:1612013828765,fragebogen1Ende:1612013830645,video2Start:1612013832101,video2Start:1612014070603,video1Start:1612014072087,']"
41,"['indexTest9;', '1111111;', 'video1Start:1612014112555,video1Start:1612014130190,']"
42,"['intern-sabi;', '999;', '],[jan09267', '65;', 'video1Start:1611902102640;video1Done,fragebogen1Start:1611908433887;fragebogen1Ende:1611908790535;video2Start:1611908792292;video2Done,fragebogen2Start:1611909438007;fragebogen2Ende:1611909771175;video3Start:1611909773016;video3Start:1611931796513;video3Start:1611999643918;video3Done,fragebogen3Start:1612007774115;fragebogen3Ende:1612007946487;video4Start:1612007948330;video4Done,fragebogen4Start:1612008448286;fragebogen4Ende:1612008577687;;']"
43,"['jk13373;', '3;', 'video1Start:1611304246618,video1Done,fragebogen1Start:1611304898055,fragebogen1Ende:1611305131103,video2Start:1611305133119,']"
44,"['kaj35663;', '60;', 'video1Start:1611840698768,video1Done,fragebogen1Start:1611841352607,fragebogen1Ende:1611841706412,video2Start:1611841708407,video2Done,fragebogen2Start:1611842469213,fragebogen2Ende:1611842925800,video3Start:1611846032498,video3Start:1611846062967,video3Done,fragebogen3Start:1611846870624,fragebogen3Ende:1611847328598,video4Start:1611847330586,video4Done,fragebogen4Start:1611848692295,fragebogen4Ende:1611849136377,']"
45,"['kak27070;', '71;', 'video1Start:1612022221668,video1Done,fragebogen1Start:1612022981832,fragebogen1Ende:1612023143549,video2Start:1612023145643,video2Done,fragebogen2Start:1612025648083,fragebogen2Ende:1612025885735,video3Start:1612025887832,video3Done,fragebogen3Start:1612026220231,fragebogen3Ende:1612026427601,video4Start:1612026429434,video4Done,fragebogen4Start:1612027079903,fragebogen4Ende:1612027269803,']"
46,"['klb39404;', '15;', 'video1Start:1611320348288,video1Done,fragebogen1Start:1611320985562,fragebogen1Ende:1611321245208,video2Start:1611321247213,video2Done,fragebogen2Start:1611327715434,fragebogen2Ende:1611328174130,video3Start:1611328176271,video3Done,fragebogen3Start:1611328900929,fragebogen3Ende:1611329480745,video4Start:1611329482788,video4Done,fragebogen4Start:1611330233048,fragebogen4Ende:1611330954487,']"
47,"['kra31575;', '52;', 'video1Start:1611756942881,video1Done,fragebogen1Start:1611757603402,fragebogen1Ende:1611757941588,video2Start:1611757944756,video2Done,fragebogen2Start:1611758694916,fragebogen2Ende:1611759282427,video3Start:1611759284920,video3Start:1611759363735,video3Start:1611824706567,video3Done,fragebogen3Start:1611825453005,fragebogen3Ende:1611826608835,video4Start:1611826611010,video4Done,fragebogen4Start:1611827373211,fragebogen4Ende:1611828346704,']"
48,"['krs30827;', '23;', 'video1Start:1611345760555,video1Done,fragebogen1Start:1611346299835,video1Start:1611346651220,video1Done,fragebogen1Start:1611346655245,fragebogen1Ende:1611346866545,video2Start:1611346869366,video2Done,fragebogen2Start:1611347359496,fragebogen2Ende:1611347509042,video3Start:1611347511620,video3Start:1611412256191,video3Start:1611413282734,video3Start:1611414173989,video3Start:1611424641951,video3Start:1611964915806,']"
49,"['krs33269;', '59;', 'video1Start:1612875626283,video1Done,fragebogen1Start:1612876302678,fragebogen1Ende:1612876881619,video2Start:1612876883395,video2Done,fragebogen2Start:1612877679401,fragebogen2Ende:1612878484452,video3Start:1612878486368,video3Done,fragebogen3Start:1612879465170,fragebogen3Ende:1612880214906,video4Start:1612880217068,video4Done,fragebogen4Start:1612881179246,fragebogen4Ende:1612881890027,']"
50,"['kul30927;', '5;', 'video1Start:1612194444562,video1Done,fragebogen1Start:1612195119589,fragebogen1Ende:1612195265531,video2Start:1612195274362,video2Start:1612367778317,video2Done,fragebogen2Start:1612368531400,fragebogen2Ende:1612368970866,video3Start:1612368984988,video3Done,fragebogen3Start:1612369725971,fragebogen3Ende:1612370147744,video4Start:1612370156079,video4Done,fragebogen4Start:1612370184631,video4Done,fragebogen4Start:1612370904546,fragebogen4Ende:1612371283716,']"
51,"['lam33104;', '22;', 'video1Start:1611338449603,video1Done,fragebogen1Start:1611339101993,fragebogen1Ende:1611339258806,video2Start:1611339260864,video2Done,fragebogen2Start:1611340006193,fragebogen2Ende:1611340321245,video3Start:1611340323260,video3Done,fragebogen3Start:1611341051910,fragebogen3Ende:1611341438906,video4Start:1611341440892,video4Done,fragebogen4Start:1611342160543,fragebogen4Ende:1611342411471,']"
52,"['lat26358;', '13;', 'video1Start:1612183553352,video1Done,fragebogen1Start:1612184212402,fragebogen1Ende:1612184372414,video2Start:1612184374800,video2Done,fragebogen2Start:1612185120045,fragebogen2Ende:1612185338700,video3Start:1612185341304,video3Done,fragebogen3Start:1612186062654,fragebogen3Ende:1612186346615,video4Start:1612186348798,video4Done,fragebogen4Start:1612187084858,fragebogen4Ende:1612187384718,']"
53,"['lim18574;', '31;', 'video1Start:1611506436647,video1Done,fragebogen1Start:1611507124049,fragebogen1Ende:1611507259613,video2Start:1611507261468,video2Done,fragebogen2Start:1611508056388,fragebogen2Ende:1611508402791,video3Start:1611508404867,video3Done,fragebogen3Start:1611509132251,fragebogen3Ende:1611509652940,video4Start:1611509655055,video4Done,fragebogen4Start:1611510392808,fragebogen4Ende:1611510845786,']"
54,"['liy29503;', '58;', 'video1Start:1611839924428,video1Done,fragebogen1Start:1611840570669,fragebogen1Ende:1611841222497,video2Start:1611841225860,video2Done,fragebogen2Start:1611841990183,fragebogen2Ende:1611843000867,video3Start:1611844432760,video3Done,fragebogen3Start:1611846403958,fragebogen3Ende:1611848107424,video4Start:1611848112792,video4Done,fragebogen4Start:1611850328977,fragebogen4Ende:1611851541376,']"
55,"['miy24614;', '56;', 'video1Start:1611835740632,video1Done,fragebogen1Start:1611836429695,fragebogen1Ende:1611836782614,video2Start:1611836785140,video2Done,fragebogen2Start:1611837379581,fragebogen2Ende:1611838264362,video3Start:1611838266778,video3Done,fragebogen3Start:1611838761340,fragebogen3Ende:1611839216522,video4Start:1611839219502,video4Done,fragebogen4Start:1611839231002,video4Done,fragebogen4Start:1611839711015,fragebogen4Ende:1611839757016,']"
56,"['mod07495;', '999;', '],[mop04640', '47;', 'video1Start:1611744860167;video1Done,fragebogen1Start:1611745607669;fragebogen1Ende:1611745777447;video2Start:1611745786459;video2Done,fragebogen2Start:1611746526299;fragebogen2Ende:1611746849987;video3Start:1611746852303;video3Done,fragebogen3Start:1611747655667;fragebogen3Ende:1611747960767;video4Start:1611747962720;video3Start:1611748523581;video3Done,fragebogen3Start:1611748532870;fragebogen3Ende:1611748537568;video4Start:1611748539336;video4Done,fragebogen4Start:1611748663496;fragebogen4Ende:1611748952401;;']"
57,"['mum08684;', '50;', 'video1Start:1611747490349,video1Done,fragebogen1Start:1611747630074,fragebogen1Ende:1611747815096,video2Start:1611747817156,video2Done,fragebogen2Start:1611748568561,fragebogen2Ende:1611748807828,video3Start:1611748809935,video3Done,fragebogen3Start:1611750621788,fragebogen3Ende:1611750965961,video4Start:1611750968056,video4Done,fragebogen4Start:1611751307484,fragebogen4Ende:1611751641651,']"
58,"['naa20133;', '34;', 'video1Start:1611567984331,video1Done,fragebogen1Start:1611568655347,fragebogen1Ende:1611569296241,video2Start:1611569298131,video2Done,fragebogen2Start:1611570214149,fragebogen2Ende:1611571285717,video3Start:1611571287672,video3Done,fragebogen3Start:1611572091778,fragebogen3Ende:1611573182914,video4Start:1611573184828,video4Done,fragebogen4Start:1611573404225,fragebogen4Ende:1611574974399,']"
59,"['nac62116;', '55;', 'video1Start:1611832348016,video1Done,fragebogen1Start:1611833013544,fragebogen1Ende:1611833435959,video2Start:1611833438029,video2Done,fragebogen2Start:1611834178067,fragebogen2Ende:1611837996379,video3Start:1611837998690,video3Done,fragebogen3Start:1611838736332,fragebogen3Ende:1611839736723,video4Start:1611839739024,video4Done,fragebogen4Start:1611840472261,fragebogen4Ende:1611841197649,']"
60,"['nen32418;', '2;', 'video1Start:1611303806546,video1Start:1611305073930,video1Done,fragebogen1Start:1611305078876,fragebogen1Ende:1611305085474,video2Start:1611305087741,video2Done,fragebogen2Start:1611305100650,fragebogen2Ende:1611305184971,video3Start:1611305187117,video3Done,fragebogen3Start:1611305621611,fragebogen3Ende:1611305892311,video4Start:1611305894798,video4Done,fragebogen4Start:1611306093599,fragebogen4Ende:1611306280023,']"
61,"['ngp33793;', '6;', 'video1Start:1611306315699,video1Done,fragebogen1Start:1611307178461,fragebogen1Ende:1611309675865,video2Start:1611309677920,video2Done,fragebogen2Start:1611310439363,fragebogen2Ende:1611313561977,video3Start:1611313564461,video3Done,fragebogen3Start:1611314294751,fragebogen3Ende:1611329465806,video4Start:1611329467903,video4Done,fragebogen4Start:1611330218462,fragebogen4Ende:1611334295443,']"
62,"['nij61313;', '61;', 'video1Start:1611845672116,video1Done,fragebogen1Start:1611846322138,fragebogen1Ende:1611846575835,video2Start:1611846577953,video2Done,fragebogen2Start:1611847328271,fragebogen2Ende:1611847788923,video3Start:1611847790886,video3Done,fragebogen3Start:1611848515397,fragebogen3Ende:1611848978017,video4Start:1611848980001,video4Done,fragebogen4Start:1611849703422,fragebogen4Ende:1611850141614,']"
63,"['pet59927;', '3;', 'nullvideo1Start:1612376254227,video1Done,fragebogen1Start:1612377435342,fragebogen1Ende:1612377792145,video2Start:1612377794467,video2Done,fragebogen2Start:1612378991922,fragebogen2Ende:1612379854774,video3Start:1612379857059,video3Done,fragebogen3Start:1612431380936,fragebogen3Ende:1612432637432,video4Start:1612432639702,video4Done,fragebogen4Start:1612435116014,fragebogen4Ende:1612436100636,']"
64,"['phe57636;', '1000;', 'nullvideo1Start:1611946463199,video1Start:1611946735265,']"
65,"['pim50707;', '57;', 'video1Start:1612198876441,video1Done,fragebogen1Start:1612199541086,fragebogen1Ende:1612199905214,video2Start:1612199907262,video2Done,fragebogen2Start:1612200649046,fragebogen2Ende:1612201058627,video3Start:1612201060625,video3Done,fragebogen3Start:1612201816324,fragebogen3Ende:1612202224535,video4Start:1612202226444,video4Done,fragebogen4Start:1612204725725,fragebogen4Ende:1612205174741,']"
66,"['rat15725;', '51;', 'video1Start:1611749544429,']"
67,"['rej30160;', '17;', 'video1Start:1611323702237,video1Done,fragebogen1Start:1611323844585,fragebogen1Ende:1611324146974,video2Start:1611324149182,video2Done,fragebogen2Start:1611324897301,fragebogen2Ende:1611325606233,video3Start:1611325609537,video3Done,fragebogen3Start:1611326917920,fragebogen3Ende:1611327759769,video4Start:1611327762326,video4Done,fragebogen4Start:1611329083305,fragebogen4Ende:1611329873611,']"
68,"['rid19332;', '64;', 'video1Start:1611869967418,video1Done,fragebogen1Start:1611870066599,video1Start:1611870224728,video1Done,fragebogen1Start:1611870250200,video1Done,fragebogen1Start:1611870251578,fragebogen1Ende:1611870537255,video2Start:1611870539062,video2Done,fragebogen2Start:1611870565281,fragebogen2Ende:1611870991936,video3Start:1611870993752,video3Done,fragebogen3Start:1611871002160,fragebogen3Ende:1611871046823,video4Start:1611871048743,video4Done,fragebogen4Start:1611871051917,video3Start:1611871055153,video2Start:1611871056047,video2Done,fragebogen2Start:1611871058539,fragebogen2Ende:1611871060948,video3Start:1611871062515,video3Done,fragebogen3Start:1611871065700,fragebogen3Ende:1611871413064,video4Start:1611871414810,video4Done,fragebogen4Start:1611871421543,fragebogen4Ende:1611871462235,video4Start:1611871466174,video4Done,fragebogen4Start:1611871468265,fragebogen4Ende:1611872257334,']"
69,"['ron57361;', '46;', 'video1Start:1611744716968,video1Done,fragebogen1Start:1611745367571,fragebogen1Ende:1611746253201,video2Start:1611746255018,video2Done,fragebogen2Start:1611839868506,video1Start:1611839901140,video2Start:1611839908518,video2Done,fragebogen2Start:1611839912287,fragebogen2Ende:1611840393916,video3Start:1611840396039,video3Done,fragebogen3Start:1611841197441,video3Done,fragebogen3Start:1611841201656,fragebogen3Ende:1611841260490,video4Start:1611841262673,video3Start:1611841270446,video3Done,fragebogen3Start:1611841274963,fragebogen3Ende:1611841634688,video4Start:1611841636594,video4Done,fragebogen4Start:1611842351811,fragebogen4Ende:1611842755960,']"
70,"['saf51207;', '41;', 'video1Start:1611661527614,video1Done,fragebogen1Start:1611662170503,fragebogen1Ende:1611662394026,video2Start:1611662396158,video2Done,fragebogen2Start:1611663135305,fragebogen2Ende:1611663527912,video3Start:1611663530149,video3Done,fragebogen3Start:1611664253535,fragebogen3Ende:1611664603952,video4Start:1611664606245,video4Done,fragebogen4Start:1611665447810,fragebogen4Ende:1611665472621,']"
